kanji	on'yomi	kun'yomi	meaning	practice_data
止	シ	と・まる、と・める	stop, halt	[0_0_0_0_0_0_NEW]
正	セイ、ショウ	ただ・しい、ただ・す、まさ	correct, justice, righteous, 10**40	[0_0_0_0_0_0_NEW]
武	ブ、ム		warrior, military, chivalry, arms	[0_0_0_0_0_0_NEW]
歩	ホ、ブ、フ	ある・く、あゆ・む	walk	[0_0_0_0_0_0_NEW]
歯	シ	は	tooth, cog	[0_0_0_0_0_0_NEW]
歳	サイ・セイ		year-end, age, occasion, opportunity	[0_0_0_0_0_0_NEW]
歴	レキ		curriculum, continuation, passage of time	[0_0_0_0_0_0_NEW]
死	シ	し・ぬ	death, die	[0_0_0_0_0_0_NEW]
殉	ジュン	したが・う	martyrdom, follow by resigning	[0_0_0_0_0_0_NEW]
殊	シュ	こと	particularly, especially, exceptionally	[0_0_0_0_0_0_NEW]
残	ザン	のこ・る、のこ・す	remainder, leftover, balance	[0_0_0_0_0_0_NEW]
殖	ショク	ふ・える、ふ・やす	augment, increase, multiply, raise	[0_0_0_0_0_0_NEW]
殴	オウ	なぐ・る	assault, hit, beat, thrash	[0_0_0_0_0_0_NEW]
段	ダン		grade, steps, stairs	[0_0_0_0_0_0_NEW]
殺	サツ、サイ、セツ	ころ・す	kill, murder, butcher, slice off, split, diminish, reduce, spoil	[0_0_0_0_0_0_NEW]
殻	カク	から	husk, nut shell	[0_0_0_0_0_0_NEW]
殿	デン、テン	との、どの	Mr., hall, mansion, palace, temple, lord	[0_0_0_0_0_0_NEW]
母	ボ	はは	mama, mother	[0_0_0_0_0_0_NEW]
毎	マイ		every	[0_0_0_0_0_0_NEW]
毒	ドク		poison	[0_0_0_0_0_0_NEW]
比	ヒ	くら・べる	compare, race, ratio, Phillipines	[0_0_0_0_0_0_NEW]
毛	モウ	け	fur, hair, feather, down	[0_0_0_0_0_0_NEW]
氏	シ	うじ	family name, surname, clan	[0_0_0_0_0_0_NEW]
民	ミン	たみ	people, nation, subjects	[0_0_0_0_0_0_NEW]
気	キ、ケ		spirit, mind	[0_0_0_0_0_0_NEW]
水	スイ	みず	water	[0_0_0_0_0_0_NEW]
氷	ヒョウ	こおり、ひ	icicle, ice, hail, freeze, congeal	[0_0_0_0_0_0_NEW]
永	エイ	なが・い	eternity, long, lengthy	[0_0_0_0_0_0_NEW]
汁	ジュウ	しる	soup, juice, broth, sap, gravy, pus	[0_0_0_0_0_0_NEW]
求	キュウ	もと・める	request, want, wish for, require, demand	[0_0_0_0_0_0_NEW]
汗	カン	あせ	sweat, perspire	[0_0_0_0_0_0_NEW]
汚	オ	よご・れる	dirty, pollute, disgrace, rape, defile	[0_0_0_0_0_0_NEW]
江	コウ	え	creek, inlet, bay	[0_0_0_0_0_0_NEW]
æ± 	チ	いけ	pond, cistern, pool, reservoir	[0_0_0_0_0_0_NEW]
決	ケツ	き・める、き・まる	decide, fix, agree upon, appoint	[0_0_0_0_0_0_NEW]
æ±½	ã'­		vapor, steam	[0_0_0_0_0_0_NEW]
沈	チン	しず・む、しず・める	sink, be submerged, subside, be depressed, aloes	[0_0_0_0_0_0_NEW]
沖	チュウ	おき	open sea, offing, rise high into sky	[0_0_0_0_0_0_NEW]
没	ボツ		drown, sink, hide, fall into, disappear, die	[0_0_0_0_0_0_NEW]
沢	タク	さわ	swamp	[0_0_0_0_0_0_NEW]
河	カ	かわ	river	[0_0_0_0_0_0_NEW]
沸	フツ	わ・く、わ・かす	seethe, boil, ferment, uproar, breed	[0_0_0_0_0_0_NEW]
油	ユ	あぶら	oil, fat	[0_0_0_0_0_0_NEW]
治	ジ、チ	おさ・める、おさ・まる、なお・る、なお・す	reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve	[0_0_0_0_0_0_NEW]
沼	ショウ	ぬま	marsh, lake, bog, swamp, pond	[0_0_0_0_0_0_NEW]
沿	エン	そ・う	run alongside, follow along, run along, lie along	[0_0_0_0_0_0_NEW]
況	キョウ		condition, situation	[0_0_0_0_0_0_NEW]
泉	セン	いずみ	spring, fountain	[0_0_0_0_0_0_NEW]
泊	ハク	と・まる、と・める	overnight, put up at, ride at anchor, 3-day stay	[0_0_0_0_0_0_NEW]
泌	ヒツ、ヒ		ooze, flow, soak in, penetrate, secrete	[0_0_0_0_0_0_NEW]
法	ホウ、ハッ、ホッ		method, law, rule, principle, model, system	[0_0_0_0_0_0_NEW]
泡	ホウ	あわ	bubbles, foam, suds, froth	[0_0_0_0_0_0_NEW]
波	ハ	なみ	waves, billows, Poland	[0_0_0_0_0_0_NEW]
泣	キュウ	な・く	cry, weep, moan	[0_0_0_0_0_0_NEW]
泥	デイ	どろ	mud, mire, adhere to, be attached to	[0_0_0_0_0_0_NEW]
注	チュウ	そそ・ぐ	pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate	[0_0_0_0_0_0_NEW]
泰	タイ		peaceful, calm, peace, easy, Thailand	[0_0_0_0_0_0_NEW]
泳	エイ	およ・ぐ	swim	[0_0_0_0_0_0_NEW]
洋	ヨウ		ocean, western style	[0_0_0_0_0_0_NEW]
洗	セン	あら・う	wash, inquire into, probe	[0_0_0_0_0_0_NEW]
洞	ドウ	ほら	cave, den, grotto	[0_0_0_0_0_0_NEW]
津	シン	つ	haven, port, harbor, ferry	[0_0_0_0_0_0_NEW]
洪	コウ		deluge, flood, vast	[0_0_0_0_0_0_NEW]
活	カツ		lively, resuscitation, being helped, living	[0_0_0_0_0_0_NEW]
派	ハ		faction, group, party, clique, sect, school	[0_0_0_0_0_0_NEW]
流	リュウ、ル	なが・れる、なが・す	current, a sink, flow, forfeit	[0_0_0_0_0_0_NEW]
浄	ジョウ		clean, purify, cleanse, exorcise, Manchu Dynasty	[0_0_0_0_0_0_NEW]
浅	セン	あさ・い	shallow, superficial, frivolous, wretched, shameful	[0_0_0_0_0_0_NEW]
浜	ヒン	はま	seacoast, beach, seashore	[0_0_0_0_0_0_NEW]
浦	ホ	うら	bay, creek, inlet, gulf, beach, seacoast	[0_0_0_0_0_0_NEW]
浪	ロウ		wandering, waves, billows	[0_0_0_0_0_0_NEW]
浮	フ	う・く、う・かれる、う・かぶ、う・かべる	floating, float, rise to surface	[0_0_0_0_0_0_NEW]
浴	ヨク	あ・びる、あ・びせる	bathe, be favored with, bask in	[0_0_0_0_0_0_NEW]
海	カイ	うみ	sea, ocean	[0_0_0_0_0_0_NEW]
浸	シン	ひた・す、ひた・る	immersed, soak, dip, steep, moisten, wet, dunk	[0_0_0_0_0_0_NEW]
消	ショウ	き・える、け・す	extinguish, blow out, turn off, neutralize, cancel	[0_0_0_0_0_0_NEW]
涙	ルイ	なみだ	tears, sympathy	[0_0_0_0_0_0_NEW]
涯	ガイ		horizon, shore	[0_0_0_0_0_0_NEW]
液	エキ		fluid, liquid, juice, sap, secretion	[0_0_0_0_0_0_NEW]
涼	リョウ	すず・しい、すず・む	refreshing, nice and cool	[0_0_0_0_0_0_NEW]
淑	シュク		graceful, gentle, pure	[0_0_0_0_0_0_NEW]
淡	タン	あわ・い	thin, faint, pale, fleeting	[0_0_0_0_0_0_NEW]
深	シン	ふか・い、ふか・まる、ふか・める	deep, heighten, intensify, strengthen	[0_0_0_0_0_0_NEW]
混	コン	ま・じる、ま・ざる、ま・ぜる	mix, blend, confuse	[0_0_0_0_0_0_NEW]
添	テン	える、そ・う	annexed, accompany, marry, suit, meet, satisfy, attach, append, garnish, imitate	[0_0_0_0_0_0_NEW]
清	セイ、ショウ	きよ・い、きよ・まる、きよ・める	pure, purify, cleanse, exorcise, Manchu dynasty	[0_0_0_0_0_0_NEW]
渇	カツ	かわ・く	thirst, dry up, parch	[0_0_0_0_0_0_NEW]
済	サイ	す・む、す・ます	finish, come to an end, excusable, need not	[0_0_0_0_0_0_NEW]
渉	ショウ		ford, ferry, port	[0_0_0_0_0_0_NEW]
渋	ジュウ	しぶ、しぶ・い、しぶ・る	astringent, hesitate, reluctant, have diarrhea	[0_0_0_0_0_0_NEW]
渓	ケイ		mountain stream, valley	[0_0_0_0_0_0_NEW]
減	ゲン	へ・る、へ・らす	dwindle, decrease, reduce, decline, curtail, get hungry	[0_0_0_0_0_0_NEW]
渡	ト	わた・る、わた・す	transit, ford, ferry, cross, import, deliver, diameter, migrate	[0_0_0_0_0_0_NEW]
渦	カ	うず	whirlpool, eddy, vortex	[0_0_0_0_0_0_NEW]
温	オン		warm	[0_0_0_0_0_0_NEW]
測	ソク	はか・る	fathom, plan, scheme, measure	[0_0_0_0_0_0_NEW]
港	コウ	みなと	harbor	[0_0_0_0_0_0_NEW]
湖	コ	みずうみ	lake	[0_0_0_0_0_0_NEW]
湯	トウ	ゆ	hot water, bath, hot spring	[0_0_0_0_0_0_NEW]
湾	ワン		gulf, bay, inlet	[0_0_0_0_0_0_NEW]
湿	シツ	しめ・る、しめ・す	damp, wet, moist	[0_0_0_0_0_0_NEW]
満	マン	み・ちる、み・たす	full, enough, pride, satisfy	[0_0_0_0_0_0_NEW]
源	ゲン	みなもと	source, origin	[0_0_0_0_0_0_NEW]
準	ジュン		semi-, correspond to, proportionate to, conform, imitate	[0_0_0_0_0_0_NEW]
溝	コウ	みぞ	gutter, ditch, sewer, drain, 10**32	[0_0_0_0_0_0_NEW]
溶	ヨウ	と・ける、と・かす、と・く	melt, dissolve, thaw	[0_0_0_0_0_0_NEW]
滅	メツ	ほろ・びる、ほろ・ぼす	destroy, ruin, overthrow, perish	[0_0_0_0_0_0_NEW]
滋	ジ		nourishing, more & more, be luxuriant, planting, turbidity	[0_0_0_0_0_0_NEW]
滑	カツ	すべ・る、なめ・らか	slippery, slide, slip, flunk	[0_0_0_0_0_0_NEW]
滝		たき	waterfall, rapids, cascade	[0_0_0_0_0_0_NEW]
滞	タイ	とどこお・る	stagnate, be delayed, overdue, arrears	[0_0_0_0_0_0_NEW]
滴	テキ	しずく、したた・る	drip, drop	[0_0_0_0_0_0_NEW]
漁	ギョ、リョウ		fishing, fishery	[0_0_0_0_0_0_NEW]
漂	ヒョウ	ただよ・う	drift, float (on liquid)	[0_0_0_0_0_0_NEW]
漆	シツ	うるし	lacquer, varnish	[0_0_0_0_0_0_NEW]
漏	ロウ	も・る、も・れる、も・らす	leak, escape, time	[0_0_0_0_0_0_NEW]
演	エン		performance, act, play, render, stage	[0_0_0_0_0_0_NEW]
æ¼ 	バク		vague, obscure, desert, wide	[0_0_0_0_0_0_NEW]
漢	カン		Sino-, China	[0_0_0_0_0_0_NEW]
漫	マン		cartoon, involuntarily, in spite of oneself, corrupt	[0_0_0_0_0_0_NEW]
漬		つ・ける、つ・かる	pickling, soak, moisten, steep	[0_0_0_0_0_0_NEW]
漸	ゼン		steadily, gradually advancing, finally, barely	[0_0_0_0_0_0_NEW]
潔	ケツ	いさぎよ・い	undefiled, pure, clean, righteous, gallant	[0_0_0_0_0_0_NEW]
潜	セン	ひそ・む、もぐ・る	submerge, conceal, hide, lower (voice), hush	[0_0_0_0_0_0_NEW]
潟		かた	lagoon	[0_0_0_0_0_0_NEW]
潤	ジュン	うるお・う、うるお・す、うる・む	wet, be watered, profit by, receive benefits, favor, charm, steep	[0_0_0_0_0_0_NEW]
潮	チョウ	しお	tide, salt water, opportunity	[0_0_0_0_0_0_NEW]
澄	チョウ	す・む、す・ます	lucidity, be clear, clear, clarify, settle, strain, look grave	[0_0_0_0_0_0_NEW]
激	ゲキ	はげ・しい	violent, get excited, enraged, chafe, incite	[0_0_0_0_0_0_NEW]
濁	ダク	にご・る、にご・す	voiced, uncleanness, wrong, nigori, impurity	[0_0_0_0_0_0_NEW]
濃	ノウ	こ・い	concentrated, thick, dark, undiluted	[0_0_0_0_0_0_NEW]
濫	ラン		excessive, overflow, spread out	[0_0_0_0_0_0_NEW]
濯	タク		laundry, wash, pour on, rinse	[0_0_0_0_0_0_NEW]
瀬	せ		rapids, current, torrent, shallows, shoal	[0_0_0_0_0_0_NEW]
火	カ	ひ、ほ	fire	[0_0_0_0_0_0_NEW]
灯	トウ	ひ	lamp, a light, light, no. of lights	[0_0_0_0_0_0_NEW]
灰	カイ	はい	ashes, puckery juice, cremate	[0_0_0_0_0_0_NEW]
災	サイ	わざわ・い	disaster, calamity, woe, curse, evil	[0_0_0_0_0_0_NEW]
炉	ロ		hearth, furnace, kiln, reactor	[0_0_0_0_0_0_NEW]
炊	スイ	た・く	cook, boil	[0_0_0_0_0_0_NEW]
炎	エン	ほのお	inflammation, flame, blaze	[0_0_0_0_0_0_NEW]
炭	タン	すみ	charcoal, coal	[0_0_0_0_0_0_NEW]
点	テン		spot, point, mark, speck, decimal point	[0_0_0_0_0_0_NEW]
為	イ		do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of	[0_0_0_0_0_0_NEW]
烈	レツ		ardent, violent, vehement, furious, severe, extreme	[0_0_0_0_0_0_NEW]
無	ム、ブ	な・い	nothingness, none, ain't, nothing, nil, not	[0_0_0_0_0_0_NEW]
焦	ショウ	こ・げる、こ・がす、こ・がれる、あせ・る	char, hurry, impatient, irritate, burn, scorch, singe	[0_0_0_0_0_0_NEW]
然	ゼン、ネン		sort of thing, so, if so, in that case, well	[0_0_0_0_0_0_NEW]
焼	ショウ	や・く、や・ける	bake, burning	[0_0_0_0_0_0_NEW]
煙	エン	けむ・る、けむり、けむ・い	smoke	[0_0_0_0_0_0_NEW]
照	ショウ	て・る、て・らす、て・れる	illuminate, shine, compare, bashful	[0_0_0_0_0_0_NEW]
煩	ハン、ボン	わずら・う、わずら・わす	anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome	[0_0_0_0_0_0_NEW]
煮	シャ	に・る、に・える、に・やす	boil, cook	[0_0_0_0_0_0_NEW]
熟	ジュク		ripe	[0_0_0_0_0_0_NEW]
熱	ネツ	あつ・い	heat, temperature, fever, mania, passion	[0_0_0_0_0_0_NEW]
燃	ネン	も・える、も・やす、も・す	burn, blaze, glow	[0_0_0_0_0_0_NEW]
燥	ソウ		parch, dry up	[0_0_0_0_0_0_NEW]
爆	バク		bomb, burst open, pop, split	[0_0_0_0_0_0_NEW]
爵	シャク		baron, peerage, court rank	[0_0_0_0_0_0_NEW]
父	フ	ちち	father	[0_0_0_0_0_0_NEW]
片	ヘン	かた	one-sided, leaf, sheet	[0_0_0_0_0_0_NEW]
版	ハン		printing block, printing plate, edition, impression, label	[0_0_0_0_0_0_NEW]
牛	ギュウ	うし	cow	[0_0_0_0_0_0_NEW]
牧	ボク	まき	breed, care for, shepherd, feed, pasture	[0_0_0_0_0_0_NEW]
物	ブツ、モツ	もの	thing, object, matter	[0_0_0_0_0_0_NEW]
牲	セイ		animal sacrifice, offering	[0_0_0_0_0_0_NEW]
特	トク		special	[0_0_0_0_0_0_NEW]
çŠ 	ã'®		sacrifice	[0_0_0_0_0_0_NEW]
犬	ケン	いぬ	dog	[0_0_0_0_0_0_NEW]
犯	ハン	おか・す	crime, sin, offense	[0_0_0_0_0_0_NEW]
状	ジョウ		status quo, conditions, circumstances, form, appearance	[0_0_0_0_0_0_NEW]
狂	キョウ	くる・う、くる・おしい	lunatic, insane, crazy, confuse	[0_0_0_0_0_0_NEW]
狩	シュ	か・る、か・り	hunt, raid, gather	[0_0_0_0_0_0_NEW]
独	ド、ク	ひと・り	by oneself	[0_0_0_0_0_0_NEW]
狭	キョウ	せま・い、せば・める、せば・まる	cramped, narrow, contract, tight	[0_0_0_0_0_0_NEW]
猛	モウ		fierce, rave, rush, become furious, wildness, strength	[0_0_0_0_0_0_NEW]
猟	リョウ		game-hunting, shooting, game, bag	[0_0_0_0_0_0_NEW]
猫	ビョウ	ねこ	cat	[0_0_0_0_0_0_NEW]
献	ケン、コン		offering, no. of drinks, present, offer	[0_0_0_0_0_0_NEW]
猶	ユウ		furthermore, still, yet	[0_0_0_0_0_0_NEW]
猿	エン	さる	monkey	[0_0_0_0_0_0_NEW]
獄	ゴク		prison, jail	[0_0_0_0_0_0_NEW]
獣	ジュウ	けもの	animal, beast	[0_0_0_0_0_0_NEW]
獲	カク	え・る	seize, get, find, earn, acquire, can, may, able to	[0_0_0_0_0_0_NEW]
玄	ゲン		mysterious, occultness	[0_0_0_0_0_0_NEW]
率	ソツ、リツ	ひき・いる	ratio, rate, proportion, %, coefficient, factor	[0_0_0_0_0_0_NEW]
玉	ギョク	たま	jewel, ball	[0_0_0_0_0_0_NEW]
王	オウ		king, rule, magnate	[0_0_0_0_0_0_NEW]
珍	チン	めずら・しい	rare, curious, strange	[0_0_0_0_0_0_NEW]
ç 	シュ		pearl, gem, jewel	[0_0_0_0_0_0_NEW]
班	ハン		squad, corps, unit, group	[0_0_0_0_0_0_NEW]
現	ゲン	あらわ・れる、あらわ・す	present, existing, actual	[0_0_0_0_0_0_NEW]
球	キュウ	たま	ball, sphere	[0_0_0_0_0_0_NEW]
理	リ		logic, arrangement, reason, justice, truth	[0_0_0_0_0_0_NEW]
琴	キン	こと	harp, koto	[0_0_0_0_0_0_NEW]
環	カン		ring, circle, link, wheel	[0_0_0_0_0_0_NEW]
璽	ジ		emperor's seal	[0_0_0_0_0_0_NEW]
瓶	ビン		flower pot, bottle, vial, jar, jug, vat, urn	[0_0_0_0_0_0_NEW]
甘	カン	あま・い、あま・える、・あま・やかす	sweet, coax, pamper, be content, sugary	[0_0_0_0_0_0_NEW]
甚	ジン	はなは・だ、はなは・だしい	tremendously, very, great, exceedingly	[0_0_0_0_0_0_NEW]
生	セイ、ショウ	い・きる、い・かす、い・ける、う・まれる、う・む	boom, prosper, copulate	[0_0_0_0_0_0_NEW]
産	サン	う・む、う・まれる、うぶ	products, bear, give birth, yield, childbirth, native, property	[0_0_0_0_0_0_NEW]
用	ヨウ	もち・いる	utilize, business, service, use, employ	[0_0_0_0_0_0_NEW]
田	デン	た	rice field, rice paddy	[0_0_0_0_0_0_NEW]
由	ユ、ユウ、ユイ	よし	wherefore, a reason	[0_0_0_0_0_0_NEW]
甲	コウ、カン		armor, high (voice), A grade, 1st class, former, instep, carapace	[0_0_0_0_0_0_NEW]
申	シン	もう・す	speaketh, have the honor to	[0_0_0_0_0_0_NEW]
男	ダン、ナン	おとこ	male	[0_0_0_0_0_0_NEW]
町	チョウ	まち	village, town, block, street	[0_0_0_0_0_0_NEW]
画	ガ、カク		brush-stroke, picture	[0_0_0_0_0_0_NEW]
界	カイ		world	[0_0_0_0_0_0_NEW]
畑		はた、はたけ	farm, field, garden, one's specialty, (kokuji)	[0_0_0_0_0_0_NEW]
畔	ハン		paddy-ridge, levee	[0_0_0_0_0_0_NEW]
留	リュウ、ル	と・める、と・まる	detain, fasten, halt, stop	[0_0_0_0_0_0_NEW]
畜	チク		livestock, domestic fowl and animals	[0_0_0_0_0_0_NEW]
畝	せ	うね	furrow, 30 tsubo, ridge, rib	[0_0_0_0_0_0_NEW]
略	リャク		abbreviation, omission, outline, shorten, capture, plunder	[0_0_0_0_0_0_NEW]
番	バン		turn, number in a series	[0_0_0_0_0_0_NEW]
異	イ	こと	uncommon, queerness, strangeness, wonderful, curious, unusual	[0_0_0_0_0_0_NEW]
畳	ジョウ	たた・む、たたみ	tatami mat, mat counter, fold, shut up, do away with	[0_0_0_0_0_0_NEW]
疎	ソ	うと・い、うと・む	alienate, rough, neglect, shun, sparse	[0_0_0_0_0_0_NEW]
疑	ギ	うたが・う	doubt, distrust, be suspicious, question	[0_0_0_0_0_0_NEW]
疫	エキ、ヤク		epidemic	[0_0_0_0_0_0_NEW]
疲	ヒ	つか・れる、つか・らす	exhausted, tire, weary	[0_0_0_0_0_0_NEW]
疾	シツ		rapidly	[0_0_0_0_0_0_NEW]
病	ビョウ、ヘイ	や・む、やまい	ill, sick	[0_0_0_0_0_0_NEW]
症	ショウ		symptoms, illness	[0_0_0_0_0_0_NEW]
痘	トウ		pox, smallpox	[0_0_0_0_0_0_NEW]
痛	ツウ	いた・い、いた・む、いた・める	pain, hurt, damage, bruise	[0_0_0_0_0_0_NEW]
痢	リ		diarrhea	[0_0_0_0_0_0_NEW]
痴	チ		stupid, foolish	[0_0_0_0_0_0_NEW]
療	リョウ		heal, cure	[0_0_0_0_0_0_NEW]
癒	ユ		healing, cure, quench (thirst), wreak	[0_0_0_0_0_0_NEW]
癖	ヘキ	くせ	mannerism, habit, vice, trait, fault, kink	[0_0_0_0_0_0_NEW]
発	ハツ、ホツ		discharge, departure, publish, emit, start from, disclose	[0_0_0_0_0_0_NEW]
登	トウ、ト	のぼ・る	ascend, climb up	[0_0_0_0_0_0_NEW]
白	ハク、ビャク	しろ、しら、しろ・い	white	[0_0_0_0_0_0_NEW]
百	ヒャク		hundred	[0_0_0_0_0_0_NEW]
的	テキ	まと	bull's eye, mark, target, object, adjective ending	[0_0_0_0_0_0_NEW]
皆	カイ	みな	all, everything	[0_0_0_0_0_0_NEW]
皇	コウ、オウ		emperor	[0_0_0_0_0_0_NEW]
皮	ヒ	かわ	pelt, skin, hide, leather	[0_0_0_0_0_0_NEW]
皿		さら	dish, a helping, plate	[0_0_0_0_0_0_NEW]
盆	ボン		basin, lantern festival, tray	[0_0_0_0_0_0_NEW]
益	エキ、やく		benefit, gain, profit, advantage	[0_0_0_0_0_0_NEW]
盗	トウ	ぬす・む	steal, rob, pilfer	[0_0_0_0_0_0_NEW]
盛	セイ、ジョウ	も・る、さか・る、さか・ん	boom, prosper, copulate	[0_0_0_0_0_0_NEW]
盟	メイ		alliance, oath	[0_0_0_0_0_0_NEW]
監	カン		oversee, official, govt office, rule, administer	[0_0_0_0_0_0_NEW]
盤	バン		tray, shallow bowl, platter, tub, board, phonograph record	[0_0_0_0_0_0_NEW]
目	モク、ボク	め、ま	eye, class, look, insight, experience, care, favor	[0_0_0_0_0_0_NEW]
盲	モウ		blind, blind man, ignoramus	[0_0_0_0_0_0_NEW]
直	チョク、ジキ	ただ・ちに、なお・す、なお・る	straightaway, honesty, frankness, fix, repair	[0_0_0_0_0_0_NEW]
相	ソウ、ショウ	あい	inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy	[0_0_0_0_0_0_NEW]
盾	ジュン	たて	shield, escutcheon, pretext	[0_0_0_0_0_0_NEW]
省	セイ、ショウ	かえり・みる、はぶ・く	focus, government ministry, conserve	[0_0_0_0_0_0_NEW]
看	カン		watch over, see	[0_0_0_0_0_0_NEW]
県	ケン		prefecture	[0_0_0_0_0_0_NEW]
真	シン	ま	true, reality, Buddhist sect	[0_0_0_0_0_0_NEW]
çœ 	ミン	ねむ・る、ねむ・い	sleep, die, sleepy	[0_0_0_0_0_0_NEW]
眺	チョウ	なが・める	stare, watch, look at, see, scrutinize	[0_0_0_0_0_0_NEW]
眼	ガン、ゲン	まなこ	eyeball	[0_0_0_0_0_0_NEW]
着	チャク、ジャク	き・る、き・せる、つ・く、つ・ける	don, arrive, wear, counter for suits of clothing	[0_0_0_0_0_0_NEW]
睡	スイ		drowsy, sleep, die	[0_0_0_0_0_0_NEW]
督	トク		coach, command, urge, lead, supervise	[0_0_0_0_0_0_NEW]
瞬	シュン	またた・く	wink, blink, twinkle	[0_0_0_0_0_0_NEW]
矛	ム	ほこ	halberd, arms, festival float	[0_0_0_0_0_0_NEW]
矢	シ	や	dart, arrow	[0_0_0_0_0_0_NEW]
知	チ	し・る	know, wisdom	[0_0_0_0_0_0_NEW]
短	タン	みじか・い	short, brevity, fault, defect, weak point	[0_0_0_0_0_0_NEW]
矯	キョウ	た・める	rectify, straighten, correct, reform, cure, control, pretend, falsify	[0_0_0_0_0_0_NEW]
石	セキ、シャク、コク	いし	stone	[0_0_0_0_0_0_NEW]
ç '	サ、シャ	すな	sand	[0_0_0_0_0_0_NEW]
ç "	ケン	と・ぐ	polish, study of, sharpen	[0_0_0_0_0_0_NEW]
ç •	サイ	くだ・く、くだ・ける	smash, break, crush, familiar, popular	[0_0_0_0_0_0_NEW]
ç ²	ホウ		cannon, gun	[0_0_0_0_0_0_NEW]
ç ´	ハ	やぶ・る、やぶ・れる	rend, rip, tear, break, destroy, defeat, frustrate	[0_0_0_0_0_0_NEW]
硝	ショウ		nitrate, saltpeter	[0_0_0_0_0_0_NEW]
硫	リュウ		sulphur	[0_0_0_0_0_0_NEW]
硬	コウ	かた・い	stiff, hard	[0_0_0_0_0_0_NEW]
碁	ゴ		Go	[0_0_0_0_0_0_NEW]
碑	ヒ		tombstone, monument	[0_0_0_0_0_0_NEW]
確	カク	たし・か、たし・かめる	assurance, firm, tight, hard, solid, confirm, clear, evident	[0_0_0_0_0_0_NEW]
磁	ジ		magnet, porcelain	[0_0_0_0_0_0_NEW]
磨	マ	みが・く	grind, polish, scour, improve, brush (teeth)	[0_0_0_0_0_0_NEW]
礁	ショウ		reef, sunken rock	[0_0_0_0_0_0_NEW]
礎	ソ	いしずえ	cornerstone, foundation stone	[0_0_0_0_0_0_NEW]
示	ジ、シ	しめ・す	show, indicate, point out, express, display	[0_0_0_0_0_0_NEW]
礼	レイ、ライ		salute, bow, ceremony, thanks, remuneration	[0_0_0_0_0_0_NEW]
社	シャ	やしろ	company, firm, office, association, shrine	[0_0_0_0_0_0_NEW]
祈	キ	いの・る	pray, wish	[0_0_0_0_0_0_NEW]
祉	シ		welfare, happiness	[0_0_0_0_0_0_NEW]
祖	ソ		ancestor, pioneer, founder	[0_0_0_0_0_0_NEW]
祝	シュク、シュウ	いわ・う	celebrate, congratulate	[0_0_0_0_0_0_NEW]
神	シン、ジン	かみ、かん、こう	gods, mind, soul	[0_0_0_0_0_0_NEW]
祥	ショウ		auspicious, happiness, good omen	[0_0_0_0_0_0_NEW]
票	ヒョウ		ballot, label, ticket, sign	[0_0_0_0_0_0_NEW]
祭	サイ	まつ・る、まつ・り	ritual, offer prayers, celebrate, deify, enshrine, worship	[0_0_0_0_0_0_NEW]
禁	キン		prohibition, ban, forbid	[0_0_0_0_0_0_NEW]
禅	ゼン		Zen, silent meditation	[0_0_0_0_0_0_NEW]
禍	カ		calamity, misfortune, evil, curse	[0_0_0_0_0_0_NEW]
福	フク		blessing, fortune, luck, wealth	[0_0_0_0_0_0_NEW]
秀	シュウ	ひい・でる	excel, excellence, beauty, surpass	[0_0_0_0_0_0_NEW]
私	シ	わたくし	private, I, me	[0_0_0_0_0_0_NEW]
秋	シュウ	あき	autumn	[0_0_0_0_0_0_NEW]
科	カ		department, course, section	[0_0_0_0_0_0_NEW]
秒	ビョウ		second (1/60 minute)	[0_0_0_0_0_0_NEW]
秘	ヒ	ひ・める	secret, conceal	[0_0_0_0_0_0_NEW]
租	ソ		tariff, crop tax, borrowing	[0_0_0_0_0_0_NEW]
秩	チツ		regularity, salary, order	[0_0_0_0_0_0_NEW]
称	ショウ		appellation, praise, admire, name, title, fame	[0_0_0_0_0_0_NEW]
移	イ	うつ・る、うつ・す	shift, move, change, drift, catch (cold, fire), pass into	[0_0_0_0_0_0_NEW]
程	テイ	ほど	extent, degree, law, formula, distance, limits, amount	[0_0_0_0_0_0_NEW]
税	ゼイ		tax, duty	[0_0_0_0_0_0_NEW]
稚	チ		immature, young	[0_0_0_0_0_0_NEW]
種	シュ	たね	species, kind, class, variety, seed	[0_0_0_0_0_0_NEW]
稲	トウ	いね、いな	rice plant	[0_0_0_0_0_0_NEW]
稼	カ	かせ・ぐ	earnings, work, earn money	[0_0_0_0_0_0_NEW]
稿	コウ		draft, copy, manuscript, straw	[0_0_0_0_0_0_NEW]
穀	コク		cereals, grain	[0_0_0_0_0_0_NEW]
穂	スイ	ほ	ear, ear (grain), head, crest (wave)	[0_0_0_0_0_0_NEW]
積	セキ	つ・む、つ・もる	volume, product (x*y), acreage, contents, pile up, stack, load, amass	[0_0_0_0_0_0_NEW]
穏	オン	おだ・やか	calm, quiet, moderation	[0_0_0_0_0_0_NEW]
穫	カク		harvest, reap	[0_0_0_0_0_0_NEW]
